Classifier,Accuracy,Precision,Recall,F1-score,Support
Logistic Regression,0.7899669239250275,0.7853755693659644,0.7899669239250275,0.7821720874749278,3628
Decision Tree,0.8756890848952591,0.875183308479454,0.8756890848952591,0.8753979155606876,3628
XGBoost,0.8453693495038589,0.8440000585897343,0.8453693495038589,0.8413124151391266,3628
K Nearest Neighbor,0.8122932745314223,0.8090819842772525,0.8122932745314223,0.8065686288746573,3628
Random Forest,0.9043550165380375,0.903847741942053,0.9043550165380375,0.9032428988404914,3628
